"Overall Rank (1=Best)","City","State","Overall Score","Running Access Rank","Running Quality Rank","Foot Care Rank","Affordability Rank","Community Rank","Safety Rank","Climate Rank"
"102","Indianapolis","IN","34.54","77","127","74","120","20","142","128"
"103","Orlando","FL","34.48","58","139","20","116","26","190","117"
"104","Tulsa","OK","34.40","102","27","93","107","65","182","186"
"105","Savannah","GA","34.31","153","85","25","175","101","106","64"
"106","Chattanooga","TN","34.29","84","104","37","130","53","146","156"
"107","Palmdale","CA","34.26","166","32","192","42","185","145","23"
"108","Frisco","TX","34.24","138","174","59","1","113","5","161"
"109","Vancouver","WA","34.23","87","179","97","100","99","109","15"
"110","Warren","MI","34.19","180","133","8","35","185","27","140"
"111","Lexington","KY","33.98","119","136","63","78","55","85","79"
"112","Jacksonville","FL","33.96","73","134","112","119","21","153","114"
"113","Murfreesboro","TN","33.89","195","54","90","28","169","29","131"
"114","Tallahassee","FL","33.66","67","115","115","156","61","91","182"
"115","Greensboro","NC","33.56","90","86","131","158","73","171","72"
"116","Fort Lauderdale","FL","33.56","100","59","27","50","95","197","85"
"117","Arlington","TX","33.53","131","65","125","81","141","88","161"
"118","Carrollton","TX","33.50","156","112","140","9","81","12","161"
"119","Olathe","KS","33.49","106","87","180","5","131","17","157"
"120","Sioux Falls","SD","33.49","127","128","75","118","112","42","110"
"121","Newport News","VA","33.37","172","56","109","167","122","129","41"
"122","Springfield","MA","33.36","110","118","77","195","70","80","61"
"123","Birmingham","AL","33.21","98","89","6","197","61","191","181"
"124","Fort Wayne","IN","33.17","137","130","83","126","65","76","99"
"125","Bridgeport","CT","33.16","151","143","70","137","180","24","65"
"126","Salem","OR","33.07","120","164","95","111","93","150","17"
"127","Santa Ana","CA","33.03","139","106","151","43","180","137","23"
"128","Lancaster","CA","33.02","198","62","166","55","162","118","23"
"129","Chesapeake","VA","32.91","125","170","176","71","116","38","41"
"130","Rancho Cucamonga","CA","32.86","170","119","177","20","176","53","51"
"131","Knoxville","TN","32.81","82","156","31","173","24","181","91"
"132","Aurora","IL","32.78","132","161","146","69","133","8","152"
"133","Riverside","CA","32.65","79","147","99","83","153","148","51"
"134","Tempe","AZ","32.60","99","58","107","127","51","141","193"
"135","Columbus","OH","32.54","80","158","138","165","45","114","93"
"136","Irving","TX","32.53","147","67","158","61","144","112","161"
"137","Kansas City","MO","32.52","57","135","102","183","60","136","157"
"138","Glendale","AZ","32.52","112","50","49","47","133","164","193"
"139","Nashville","TN","32.48","103","88","106","152","64","174","131"
"140","Norfolk","VA","32.37","129","100","163","177","127","152","41"
"141","New Orleans","LA","32.06","66","114","66","184","91","180","123"
"142","Moreno Valley","CA","32.04","175","68","194","3","142","78","51"
"143","Springfield","MO","31.91","115","101","92","189","90","121","142"
"144","Modesto","CA","31.76","133","149","94","75","128","159","40"
"145","Joliet","IL","31.61","108","160","96","11","153","13","152"
"146","Newark","NJ","31.58","117","28","165","200","175","131","129"
"147","Fontana","CA","31.52","174","162","162","63","185","26","51"
"148","Laredo","TX","31.38","176","126","191","96","169","22","80"
"149","Hialeah","FL","31.36","159","165","41","159","147","48","85"
"150","Corpus Christi","TX","31.13","130","144","136","122","88","134","68"
"151","Garland","TX","31.09","157","132","187","36","180","36","161"
"152","Elk Grove","CA","31.00","95","183","195","2","177","11","48"
"153","Augusta","GA","30.99","188","145","47","166","117","47","139"
"154","Hollywood","FL","30.66","128","171","46","134","103","130","85"
"155","Toledo","OH","30.37","104","153","122","182","89","132","95"
"156","Peoria","AZ","30.32","169","105","120","68","147","39","193"
"157","Stockton","CA","30.27","146","178","161","82","161","122","38"
"158","Port St. Lucie","FL","30.20","194","186","164","101","159","2","60"
"159","Rockford","IL","30.17","150","107","38","170","110","183","104"
"160","Fayetteville","NC","30.10","192","137","118","171","97","67","70"
"161","Hampton","VA","30.06","193","184","111","93","165","45","41"
"162","Fresno","CA","29.99","142","131","135","91","84","177","118"
"163","Little Rock","AR","29.91","141","163","24","41","107","179","147"
"164","Winston-Salem","NC","29.83","161","166","73","109","78","151","78"
"165","Denton","TX","29.82","158","167","104","65","133","65","161"
"165","Aurora","CO","29.82","64","173","159","97","136","104","187"
"167","Paterson","NJ","29.74","152","152","105","190","185","46","125"
"168","Garden Grove","CA","29.53","187","181","171","32","193","97","23"
"169","Bakersfield","CA","29.42","148","169","141","90","92","167","59"
"170","Lubbock","TX","29.05","164","182","126","38","114","163","39"
"171","Lakewood","CO","29.05","83","148","188","15","111","86","187"
"172","Columbus","GA","29.02","168","140","179","144","104","139","98"
"173","Oklahoma City","OK","28.71","143","155","103","181","79","149","179"
"174","San Bernardino","CA","28.50","160","111","193","132","177","194","51"
"175","Shreveport","LA","28.48","182","150","69","104","75","168","173"
"176","Chandler","AZ","28.34","155","175","128","25","147","41","193"
"177","Brownsville","TX","28.17","189","157","182","151","180","60","84"
"178","Mobile","AL","27.83","177","113","82","172","138","186","145"
"179","Memphis","TN","27.74","122","138","170","133","57","199","146"
